usernameTweet,ID,text,url,nbr_retweet,nbr_favorite,nbr_reply,datetime,is_reply,is_retweet,user_id,search_term,has_media,medias,location,coordinates
googolbeast,25900670876,"1896 Sanriku earthquake  was caused by Tesla's first Earthquake Machine (EM), ... (YouTube http://youtu.be/8FUxShu52Vg?a)",/googolbeast/status/25900670876,1,1,4,2010-09-29 22:31:19,False,False,113563799, 1896 sanriku earthquake,,,New Jerusalem,"(40.3739434, -83.6574306)"
googolbeast,25914533462,@elrefugiodelachota I'll lower case it for you...  1896 Sanriku earthquake  was... (YouTube http://youtu.be/w1C44JQU7Pc?a),/googolbeast/status/25914533462,1,1,3,2010-09-30 01:56:13,False,False,113563799, 1896 sanriku earthquake,,,New Jerusalem,"(40.3739434, -83.6574306)"
BeautifulJapan,54577904910221312,"Tsunami climbed up to 37.9 m in Taro, Miyakoshi, Iwate. The record is 38.2 m in Ohfunato in  1896' Sanriku Earthquake   http://bit.ly/hBF445",/BeautifulJapan/status/54577904910221312,0,0,0,2011-04-03 21:46:01,False,False,59906222, 1896 sanriku earthquake,,,,"(46.3144754, 11.0480288)"
CJLondonJobs,66495987811745792,"Programme Manager West Africa (UK based) -  Methodist   Relief  and  Development   Fund  (, Greater London):  Methodist  R... http://bit.ly/iWTip6",/CJLondonJobs/status/66495987811745792,0,0,0,2011-05-06 19:04:13,False,False,95398544, methodist relief development fund,,,London,"(51.5073219, -0.1276474)"
MandSmethodists,73491742816616449,Running 6miles for  Methodist   Relief  and  Development   Fund  using @JustGiving .  Check out our page #JustGiving   http://www. justgiving.com/MRDFmethodists ?utm_source=twitter&amp;utm_medium=tweetfeed&amp;utm_campaign=mypages   …,/MandSmethodists/status/73491742816616449,0,0,0,2011-05-26 02:22:51,False,False,301985339, methodist relief development fund,,,Manchester and Stockport,"(53.407901, -2.160243)"
CharityJob,73775588980166657,"Intern, MRDF -  Methodist   Relief  and  Development   Fund  (£15,936, London):  Methodist   Relief  and  Development   Fund , L... http://bit.ly/jZSroq",/CharityJob/status/73775588980166657,0,0,0,2011-05-26 21:10:45,False,False,26723901, methodist relief development fund,,,United Kingdom,"(54.7023545, -3.2765753)"
jobstweetjobs,73775599092629505,"Intern, MRDF -  Methodist   Relief  and  Development   Fund  (£15,936, London):  Methodist   Relief  and  Development   Fund , L... http://bit.ly/iXpRvD",/jobstweetjobs/status/73775599092629505,0,0,0,2011-05-26 21:10:48,False,False,88906505, methodist relief development fund,,,,"(46.3144754, 11.0480288)"
CJInterDev,73776184588124160,"Intern, MRDF -  Methodist   Relief  and  Development   Fund  (£15,936, London):  Methodist   Relief  and  Development   Fund , L... http://bit.ly/mLPxvd",/CJInterDev/status/73776184588124160,0,0,0,2011-05-26 21:13:07,False,False,95399142, methodist relief development fund,,,UK,"(54.7023545, -3.2765753)"
CJLondonJobs,73780638506946560,"Intern, MRDF -  Methodist   Relief  and  Development   Fund  (£15,936, London):  Methodist   Relief  and  Development   Fund , L... http://bit.ly/jlzb4g",/CJLondonJobs/status/73780638506946560,0,0,0,2011-05-26 21:30:49,False,False,95398544, methodist relief development fund,,,London,"(51.5073219, -0.1276474)"
KentCollegePemb,74047367728463872,Kent College girls are raising money today for the  Methodist   Relief  &  Development   Fund,/KentCollegePemb/status/74047367728463872,0,0,0,2011-05-27 15:10:42,False,False,237242306, methodist relief development fund,,,"Tunbridge Wells, Kent, UK","(51.1371483, 0.2673446)"
